scenario,dataset,model,attack,attack_mode,partition,intensity,clean_accuracy_mean,clean_accuracy_std,clean_accuracy_min,clean_accuracy_max,attacked_accuracy_mean,attacked_accuracy_std,attacked_accuracy_min,attacked_accuracy_max,accuracy_drop_pp_mean,accuracy_drop_pp_std,accuracy_drop_pp_min,accuracy_drop_pp_max,attack_success_rate_mean,attack_success_rate_std,attack_success_rate_min,attack_success_rate_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,positive_recall_mean,positive_recall_std,positive_recall_min,positive_recall_max,f1_mean,f1_std,f1_min,f1_max,n,seeds
s1,digits,logistic_regression,extraction,label_only,-,250.000000,0.970000,0.007454,0.963889,0.980556,0.827222,0.032714,0.791667,0.869444,14.277778,3.296088,10.555556,17.500000,0.827222,0.030391,0.797222,0.863889,0.828248,0.032526,0.792763,0.870478,0.828248,0.032526,0.792763,0.870478,0.825890,0.032195,0.795160,0.868618,5,"0,1,2,3,4"
s1,digits,logistic_regression,extraction,label_only,-,500.000000,0.970000,0.007454,0.963889,0.980556,0.930000,0.020544,0.894444,0.947222,4.000000,2.139069,1.666667,7.222222,0.941667,0.028123,0.891667,0.958333,0.929996,0.020551,0.894352,0.947051,0.929996,0.020551,0.894352,0.947051,0.929950,0.020728,0.893929,0.946855,5,"0,1,2,3,4"
s1,digits,logistic_regression,extraction,label_only,-,1000.000000,0.970000,0.007454,0.963889,0.980556,0.956111,0.007955,0.944444,0.966667,1.388889,1.057746,0.000000,2.500000,0.975000,0.005556,0.966667,0.980556,0.956093,0.007955,0.944193,0.966424,0.956093,0.007955,0.944193,0.966424,0.956187,0.008117,0.944286,0.967075,5,"0,1,2,3,4"
s1,digits,logistic_regression,inversion,zeroth_order,-,0.000000,0.970000,0.007454,0.963889,0.980556,0.970000,0.007454,0.963889,0.980556,0.000000,0.000000,0.000000,0.000000,,,,,0.969941,0.007471,0.963876,0.980547,0.969941,0.007471,0.963876,0.980547,0.970025,0.007467,0.963871,0.980609,5,"0,1,2,3,4"
s1,digits,logistic_regression,inversion,zeroth_order,-,20.000000,0.970000,0.007454,0.963889,0.980556,0.970000,0.007454,0.963889,0.980556,0.000000,0.000000,0.000000,0.000000,0.270342,0.040190,0.225172,0.308736,0.969941,0.007471,0.963876,0.980547,0.969941,0.007471,0.963876,0.980547,0.970025,0.007467,0.963871,0.980609,5,"0,1,2,3,4"
s1,digits,logistic_regression,inversion,zeroth_order,-,100.000000,0.970000,0.007454,0.963889,0.980556,0.970000,0.007454,0.963889,0.980556,0.000000,0.000000,0.000000,0.000000,0.395246,0.022113,0.366685,0.425926,0.969941,0.007471,0.963876,0.980547,0.969941,0.007471,0.963876,0.980547,0.970025,0.007467,0.963871,0.980609,5,"0,1,2,3,4"
s1,digits,logistic_regression,inversion,zeroth_order,-,500.000000,0.970000,0.007454,0.963889,0.980556,0.970000,0.007454,0.963889,0.980556,0.000000,0.000000,0.000000,0.000000,0.562322,0.013233,0.543879,0.578337,0.969941,0.007471,0.963876,0.980547,0.969941,0.007471,0.963876,0.980547,0.970025,0.007467,0.963871,0.980609,5,"0,1,2,3,4"
s1,digits,logistic_regression,inversion,zeroth_order,-,2000.000000,0.970000,0.007454,0.963889,0.980556,0.970000,0.007454,0.963889,0.980556,0.000000,0.000000,0.000000,0.000000,0.647820,0.014525,0.629788,0.664675,0.969941,0.007471,0.963876,0.980547,0.969941,0.007471,0.963876,0.980547,0.970025,0.007467,0.963871,0.980609,5,"0,1,2,3,4"
s1,digits,logistic_regression,membership,confidence_threshold,-,0.000000,0.970000,0.007454,0.963889,0.980556,0.970000,0.007454,0.963889,0.980556,0.000000,0.000000,0.000000,0.000000,,,,,0.969941,0.007471,0.963876,0.980547,0.969941,0.007471,0.963876,0.980547,0.970025,0.007467,0.963871,0.980609,5,"0,1,2,3,4"
s1,digits,logistic_regression,membership,confidence_threshold,-,2.000000,0.970000,0.007454,0.963889,0.980556,0.970000,0.007454,0.963889,0.980556,0.000000,0.000000,0.000000,0.000000,0.519553,0.025236,0.477654,0.541899,0.969941,0.007471,0.963876,0.980547,0.969941,0.007471,0.963876,0.980547,0.970025,0.007467,0.963871,0.980609,5,"0,1,2,3,4"
s1,digits,logistic_regression,membership,confidence_threshold,-,5.000000,0.970000,0.007454,0.963889,0.980556,0.970000,0.007454,0.963889,0.980556,0.000000,0.000000,0.000000,0.000000,0.518592,0.017799,0.498592,0.539437,0.969941,0.007471,0.963876,0.980547,0.969941,0.007471,0.963876,0.980547,0.970025,0.007467,0.963871,0.980609,5,"0,1,2,3,4"
